State,2009 Population,2010 Population,2011 Population,2012 Population,2013 Population,2014 Population,2015 Population,2016 Population,2017 Population,2018 Population,2009 Median Year House was Built,2010 Median Year House was Built,2011 Median Year House was Built,2012 Median Year House was Built,2013 Median Year House was Built,2014 Median Year House was Built,2015 Median Year House was Built,2016 Median Year House was Built,2017 Median Year House was Built,2018 Median Year House was Built,2009 Median Age,2010 Median Age,2011 Median Age,2012 Median Age,2013 Median Age,2014 Median Age,2015 Median Age,2016 Median Age,2017 Median Age,2018 Median Age
SD,796513.0,799462.0,807697.0,815871.0,825198.0,834708.0,843190.0,851058.0,855444.0,864289.0,1972.0,1973,1973.0,1973.0,1974.0,1974.0,1975.0,1975.0,1976.0,1976.0,37.0,37.2,37.1,37.1,36.9,36.8,36.8,36.8,36.8,36.8
TN,6158953.0,6234968.0,6297991.0,6353226.0,6402387.0,6451365.0,6499615.0,6548009.0,6597381.0,6651089.0,1979.0,1980,1980.0,1981.0,1981.0,1981.0,1982.0,1982.0,1983.0,1983.0,37.3,37.6,37.8,38.0,38.2,38.3,38.4,38.5,38.6,38.7
TX,23819042.0,24311891.0,24774187.0,25208897.0,25639373.0,26092033.0,26538614.0,26956435.0,27419612.0,27885195.0,1981.0,1982,1982.0,1983.0,1983.0,1984.0,1984.0,1985.0,1986.0,1986.0,33.0,33.4,33.5,33.6,33.8,33.9,34.1,34.2,34.3,34.4
UT,2651816.0,2657236.0,2715379.0,2766233.0,2813673.0,2858111.0,2903379.0,2948427.0,2993941.0,3045350.0,1981.0,1982,1982.0,1983.0,1984.0,1984.0,1985.0,1986.0,1986.0,1987.0,28.5,28.8,29.1,29.3,29.6,29.9,30.1,30.3,30.5,30.7
VA,7721730.0,7841754.0,7926192.0,8014955.0,8100653.0,8185131.0,8256630.0,8310301.0,8365952.0,8413774.0,1978.0,1978,1979.0,1979.0,1980.0,1980.0,1980.0,1981.0,1981.0,1982.0,36.7,37.2,37.3,37.4,37.5,37.6,37.6,37.8,38.0,38.1
VT,620414.0,624258.0,624958.0,625498.0,625904.0,626358.0,626604.0,626249.0,624636.0,624977.0,1971.0,1971,1972.0,1972.0,1973.0,1973.0,1973.0,1974.0,1974.0,1974.0,40.6,41.0,41.4,41.7,42.0,42.2,42.4,42.6,42.8,42.9
WA,6465755.0,6561297.0,6652845.0,6738714.0,6819579.0,6899123.0,6985464.0,7073146.0,7169967.0,7294336.0,1977.0,1978,1978.0,1979.0,1979.0,1980.0,1980.0,1980.0,1981.0,1981.0,36.8,37.0,37.1,37.2,37.3,37.4,37.4,37.6,37.6,37.6
WI,5599420.0,5637947.0,5664893.0,5687219.0,5706871.0,5724692.0,5742117.0,5754798.0,5763217.0,5778394.0,1970.0,1970,1971.0,1971.0,1971.0,1972.0,1972.0,1972.0,1973.0,1973.0,37.8,38.1,38.3,38.5,38.7,38.8,39.0,39.1,39.2,39.3
WV,1811403.0,1840802.0,1846372.0,1850481.0,1853619.0,1853881.0,1851420.0,1846092.0,1836843.0,1829054.0,1971.0,1971,1972.0,1972.0,1973.0,1973.0,1973.0,1974.0,1974.0,1974.0,40.4,41.1,41.1,41.3,41.5,41.6,41.8,41.9,42.2,42.4
WY,523949.0,545579.0,554697.0,562803.0,570134.0,575251.0,579679.0,583029.0,583200.0,581836.0,1975.0,1975,1976.0,1976.0,1977.0,1977.0,1978.0,1978.0,1978.0,1979.0,36.7,37.0,36.9,36.9,36.8,36.8,36.8,36.8,37.0,37.3
