,State,2008_Avg_ZHVI,2009_Avg_ZHVI,2010_Avg_ZHVI,2011_Avg_ZHVI,2012_Avg_ZHVI,2013_Avg_ZHVI,2014_Avg_ZHVI,2015_Avg_ZHVI,2016_Avg_ZHVI,2017_Avg_ZHVI,2018_Avg_ZHVI,2019_Avg_ZHVI,2008_Avg_MSR,2009_Avg_MSR,2010_Avg_MSR,2011_Avg_MSR,2012_Avg_MSR,2013_Avg_MSR,2014_Avg_MSR,2015_Avg_MSR,2016_Avg_MSR,2017_Avg_MSR,2018_Avg_MSR,2019_Avg_MSR,2008_Avg_NS,2009_Avg_NS,2010_Avg_NS,2011_Avg_NS,2012_Avg_NS,2013_Avg_NS,2014_Avg_NS,2015_Avg_NS,2016_Avg_NS,2017_Avg_NS,2018_Avg_NS,2019_Avg_NS,2008_Avg_FR,2009_Avg_FR,2010_Avg_FR,2011_Avg_FR,2012_Avg_FR,2013_Avg_FR,2014_Avg_FR,2015_Avg_FR,2016_Avg_FR,2017_Avg_FR,2018_Avg_FR,2019_Avg_FR,2008_Div Rate,2009_Div Rate,2010_Div Rate,2011_Div Rate,2012_Div Rate,2013_Div Rate,2014_Div Rate,2015_Div Rate,2016_Div Rate,2017_Div Rate,2018_Div Rate,2008_unemployment,2009_unemployment,2010_unemployment,2011_unemployment,2012_unemployment,2013_unemployment,2014_unemployment,2015_unemployment,2016_unemployment,2017_unemployment,2018_unemployment,2019_unemployment,2008_studentLoan,2009_studentLoan,2010_studentLoan,2011_studentLoan,2012_studentLoan,2013_studentLoan,2014_studentLoan,2015_studentLoan,2016_studentLoan,2017_studentLoan,2018_studentLoan,2008_totalLoan,2009_totalLoan,2010_totalLoan,2011_totalLoan,2012_totalLoan,2013_totalLoan,2014_totalLoan,2015_totalLoan,2016_totalLoan,2017_totalLoan,2018_totalLoan,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
18,LA,151377.55,149277.61,147012.81,142501.38,143311.61,144643.28,146715.99,151109.71,155370.54,156814.54,160139.4,162072.74,170312.4,169201.88,167733.97,167226.01,163371.0,174319.15,178101.04,180022.07,186749.22,191239.69,198612.85,200545.6,26152.0,30088.0,29438.0,31126.0,34264.0,40365.0,44198.0,45602.0,50071.0,53298.0,49240.0,40102.0,0.01,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.02,3.73,3.71,3.8,3.76,3.6,2.17,2.25,2.77,2.04,1.92,1.74,4.93,6.83,7.95,7.83,7.09,6.68,6.37,6.32,6.07,5.13,4.88,4.53,2560,2910,3130,3390,3750,4030,4340,4500,4810,5020,5360,31580,31370,30980,32240,32760,32560,33490,34560,35220,36720,38160,39563.0,45433.0,39300.0,40658.0,39085.0,39622.0,42406.0,45922.0,42196.0,43903.0,54555
19,MA,386248.0,364574.6,365931.21,354749.99,349036.32,366042.82,385413.36,403680.0,414750.04,430517.71,451397.3,459662.33,298460.79,287422.52,298359.66,291525.97,283353.18,300397.24,303114.44,323230.27,343965.48,374434.85,398465.34,415184.07,50743.0,57343.0,57381.0,54636.0,56113.0,68657.0,66147.0,72628.0,75477.0,81679.0,80097.0,67690.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.02,2.0,2.2,2.5,2.7,2.7,2.63,2.68,2.55,2.29,2.17,2.12,5.55,8.1,8.29,7.24,6.66,6.72,5.75,4.8,3.88,3.76,3.35,2.95,3600,3900,4380,4580,4860,5170,5310,5630,5830,5980,6140,62180,60100,58430,59730,59400,58940,58940,59820,60770,63070,64680,47228.0,47502.0,47931.0,49693.0,49158.0,50121.0,51710.0,50756.0,50856.0,51664.0,49973
20,MD,353503.66,319818.08,303927.05,293501.67,286751.73,295964.02,304431.46,305692.8,308861.77,318140.82,328420.79,333409.11,299833.58,286404.64,267065.67,251133.14,254384.35,262966.76,278678.22,287628.61,293758.44,306694.3,319086.75,325038.86,38063.0,42812.0,47482.0,48923.0,51172.0,60107.0,59850.0,71294.0,83273.0,93154.0,95285.0,83439.0,0.0,0.0,0.0,0.01,0.03,0.04,0.06,0.09,0.05,0.05,0.04,0.04,2.8,2.8,2.8,2.9,2.8,2.53,2.54,2.6,2.69,2.54,2.4,4.25,7.02,7.65,7.25,6.97,6.57,5.82,5.08,4.44,4.24,3.93,3.74,3060,3520,4040,4270,4730,5110,5480,5670,6010,6260,6740,73490,71170,68410,69640,69060,66970,67480,67020,67530,70010,71120,63711.0,64186.0,64201.0,68876.0,71836.0,65262.0,76165.0,73594.0,73760.0,81084.0,58663
21,ME,234211.15,220898.42,217096.71,207235.43,210055.88,209956.08,209074.63,205497.56,203788.39,209451.04,217686.24,224447.95,174866.67,166663.89,172523.61,165771.53,182132.65,178613.96,177990.62,200243.4,207820.83,226401.35,242917.78,255077.03,8771.0,10064.0,9196.0,9201.0,10426.0,13107.0,13706.0,15285.0,17586.0,18844.0,17856.0,13595.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,4.2,4.1,4.2,4.2,3.9,3.97,3.58,3.43,3.43,3.23,3.2,5.52,8.08,8.13,7.89,7.47,6.65,5.61,4.38,3.78,3.4,3.38,3.15,3050,3360,3600,3720,3970,4210,4450,4760,5050,5270,5340,40840,39990,39090,40730,40580,39600,39790,40010,41310,42080,42230,60320.0,59373.0,60934.0,63313.0,63656.0,62963.0,63151.0,67861.0,72266.0,73227.0,86223
22,MI,154287.39,139393.42,132359.9,128268.68,128637.14,136598.95,145025.84,150434.15,155806.27,164150.67,174242.34,182050.85,143890.19,122205.63,121018.15,119928.41,127771.31,142027.84,152420.31,160269.11,166099.15,177985.54,191082.16,202776.71,88770.0,114359.0,114722.0,119497.0,138374.0,154037.0,143187.0,156943.0,178114.0,187650.0,187590.0,155253.0,0.1,0.12,0.11,0.1,0.08,0.06,0.04,0.03,0.02,0.02,0.02,0.01,3.4,3.3,3.5,3.4,3.3,3.26,3.0,3.05,2.91,2.85,2.84,8.04,13.61,12.58,10.39,9.13,8.78,7.23,5.41,5.0,4.59,4.13,4.12,2700,3120,3500,3800,4240,4540,4840,4940,5280,5490,5800,41420,38660,36200,36940,35970,34570,34700,35280,36320,37640,37590,49788.0,45994.0,46276.0,48879.0,50015.0,48801.0,52005.0,54203.0,57091.0,57700.0,86345
23,MN,196946.74,182382.09,175702.99,166277.28,164081.88,173239.85,181563.74,184394.7,190877.03,201408.65,212736.32,220761.75,205932.27,185231.02,183742.96,166902.08,170398.9,183267.78,195831.72,205301.64,211613.18,231530.12,247404.2,259514.33,53155.0,65592.0,56989.0,60975.0,72602.0,81797.0,77303.0,86846.0,92906.0,97052.0,96364.0,85550.0,0.02,0.02,0.03,0.04,0.05,0.05,0.03,0.02,0.01,0.01,0.01,0.01,3.73,3.71,3.8,3.76,3.6,3.44,3.33,3.25,3.16,3.04,2.99,5.44,7.77,7.39,6.49,5.61,4.96,4.16,3.68,3.87,3.41,2.91,3.24,3330,3730,4200,4600,5020,5310,5550,5730,5980,6100,6280,55930,53660,50840,52110,51310,50470,50660,51110,51850,53260,54190,54925.0,56090.0,52321.0,57820.0,61795.0,60907.0,67244.0,68730.0,70218.0,71920.0,60449
24,MO,142049.41,135569.68,132161.6,125656.78,122425.33,122294.55,123881.16,127014.49,131050.98,135672.39,142524.55,148446.71,163125.32,159075.53,157634.22,152665.98,151383.78,152252.84,159056.04,162951.71,169935.01,180896.24,190683.33,201568.22,56212.0,62517.0,57976.0,56044.0,62285.0,69131.0,68410.0,77975.0,89819.0,98538.0,103912.0,85640.0,0.04,0.04,0.04,0.05,0.06,0.05,0.03,0.02,0.02,0.01,0.01,0.01,3.7,3.8,3.9,3.9,3.7,3.42,3.28,3.18,3.28,3.14,3.04,6.18,9.26,9.58,8.49,6.98,6.73,6.13,4.98,4.58,3.76,3.18,3.22,2700,3110,3470,3760,4180,4370,4620,4760,5000,5140,5270,37640,36400,34820,36450,36410,35550,35890,36510,37170,38420,39060,36446.0,35078.0,38160.0,41090.0,36641.0,40850.0,35521.0,40037.0,41099.0,43441.0,71817
25,MS,118782.22,115242.92,112245.33,109144.04,107339.9,104701.82,103602.25,104237.24,107527.82,110019.21,113577.32,117658.76,147286.0,142475.4,142766.88,129781.25,127164.81,132650.76,138436.57,144002.68,150490.0,156940.99,162837.3,171661.77,11143.0,13219.0,13624.0,13656.0,13970.0,15664.0,16125.0,17405.0,21002.0,21667.0,20433.0,15929.0,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.01,0.0,4.3,4.1,4.3,4.0,4.0,3.59,3.37,3.37,3.2,2.9,2.72,6.6,9.48,10.36,9.98,9.0,8.53,7.49,6.38,5.83,5.1,4.77,5.1,2390,2820,3150,3560,4130,4250,4630,4880,5210,5510,5870,26890,26370,25660,27050,27680,27070,27710,28650,29430,30920,32100,46038.0,48769.0,45817.0,45774.0,49764.0,50311.0,56630.0,59196.0,55016.0,56885.0,42781
26,MT,249085.83,229901.18,217305.68,210999.2,210743.83,216490.37,225810.41,227911.8,229226.8,238157.76,250403.04,262202.53,193270.0,181242.77,186728.7,183056.48,181479.17,186048.55,201419.05,227881.69,237785.85,255013.43,276405.56,293626.41,7472.0,8473.0,8321.0,8307.0,10066.0,11351.0,11313.0,13391.0,14113.0,14568.0,14943.0,12699.0,0.01,0.01,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.0,4.1,4.0,3.9,4.0,3.9,3.39,3.45,3.43,3.1,3.11,3.03,5.11,6.84,7.3,6.94,5.98,5.41,4.66,4.19,4.13,3.94,3.72,3.54,2680,2950,3210,3420,3750,3840,4090,4080,4000,4360,4670,40030,39380,38090,39510,39880,39460,40820,40360,42240,44200,44960,42900.0,40437.0,41280.0,40277.0,45088.0,44132.0,51102.0,51395.0,57075.0,59087.0,61726
27,NC,182419.45,173986.06,166381.11,158529.71,154408.42,155094.55,158913.15,161927.15,167188.15,174604.25,184608.71,193065.42,173105.95,167357.17,178284.82,165778.63,170336.35,174680.44,177461.74,185765.7,191298.15,200076.16,215811.15,227340.66,79878.0,85285.0,84427.0,81131.0,92039.0,114129.0,120489.0,130531.0,155296.0,178138.0,180159.0,166419.0,0.05,0.06,0.08,0.07,0.07,0.06,0.06,0.04,0.03,0.02,0.02,0.01,3.8,3.8,3.8,3.7,3.7,3.43,3.4,3.08,3.25,3.11,3.08,6.13,10.58,10.82,10.27,9.29,7.96,6.32,5.72,5.08,4.48,3.89,4.03,2140,2480,2800,3050,3420,3750,4010,4280,4650,4950,5240,44720,43650,42530,43340,42950,41540,41720,41880,42840,44780,45840,50728.0,49595.0,52504.0,55616.0,52196.0,53774.0,56870.0,60474.0,59374.0,59619.0,57679
