,State,2008_Avg_ZHVI,2009_Avg_ZHVI,2010_Avg_ZHVI,2011_Avg_ZHVI,2012_Avg_ZHVI,2013_Avg_ZHVI,2014_Avg_ZHVI,2015_Avg_ZHVI,2016_Avg_ZHVI,2017_Avg_ZHVI,2018_Avg_ZHVI,2019_Avg_ZHVI,2008_Avg_MSR,2009_Avg_MSR,2010_Avg_MSR,2011_Avg_MSR,2012_Avg_MSR,2013_Avg_MSR,2014_Avg_MSR,2015_Avg_MSR,2016_Avg_MSR,2017_Avg_MSR,2018_Avg_MSR,2019_Avg_MSR,2008_Avg_NS,2009_Avg_NS,2010_Avg_NS,2011_Avg_NS,2012_Avg_NS,2013_Avg_NS,2014_Avg_NS,2015_Avg_NS,2016_Avg_NS,2017_Avg_NS,2018_Avg_NS,2019_Avg_NS,2008_Avg_FR,2009_Avg_FR,2010_Avg_FR,2011_Avg_FR,2012_Avg_FR,2013_Avg_FR,2014_Avg_FR,2015_Avg_FR,2016_Avg_FR,2017_Avg_FR,2018_Avg_FR,2019_Avg_FR,2008_Div Rate,2009_Div Rate,2010_Div Rate,2011_Div Rate,2012_Div Rate,2013_Div Rate,2014_Div Rate,2015_Div Rate,2016_Div Rate,2017_Div Rate,2018_Div Rate,2008_unemployment,2009_unemployment,2010_unemployment,2011_unemployment,2012_unemployment,2013_unemployment,2014_unemployment,2015_unemployment,2016_unemployment,2017_unemployment,2018_unemployment,2019_unemployment
20,MD,353503.66,319818.08,303927.05,293501.67,286751.73,295964.02,304431.46,305692.8,308861.77,318140.82,328420.79,333409.11,299833.58,286404.64,267065.67,251133.14,254384.35,262966.76,278678.22,287628.61,293758.44,306694.3,319086.75,325038.86,3891.95,3654.0,4387.28,4399.15,4275.94,5008.92,5067.0,6057.33,7035.01,7966.42,8017.08,8342.49,0.0,0.0,0.0,0.01,0.03,0.04,0.06,0.09,0.05,0.05,0.04,0.04,2.8,2.8,2.8,2.9,2.8,2.53,2.54,2.6,2.69,2.54,2.4,4.25,7.02,7.65,7.25,6.97,6.57,5.82,5.08,4.44,4.24,3.93,3.74
21,ME,234211.15,220898.42,217096.71,207235.43,210055.88,209956.08,209074.63,205497.56,203788.39,209451.04,217686.24,224447.95,174866.67,166663.89,172523.61,165771.53,182132.65,178613.96,177990.62,200243.4,207820.83,226401.35,242917.78,255077.03,877.1,838.67,766.33,766.75,868.83,1092.25,1142.17,1273.75,1465.5,1570.33,1488.0,1382.39,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,4.2,4.1,4.2,4.2,3.9,3.97,3.58,3.43,3.43,3.23,3.2,5.52,8.08,8.13,7.89,7.47,6.65,5.61,4.38,3.78,3.4,3.38,3.15
22,MI,154287.39,139393.42,132359.9,128268.68,128637.14,136598.95,145025.84,150434.15,155806.27,164150.67,174242.34,182050.85,143890.19,122205.63,121018.15,119928.41,127771.31,142027.84,152420.31,160269.11,166099.15,177985.54,191082.16,202776.71,8877.0,9627.15,9628.89,10054.42,11536.0,12896.87,11941.21,13303.94,14938.5,15759.75,15745.64,15304.1,0.1,0.12,0.11,0.1,0.08,0.06,0.04,0.03,0.02,0.02,0.02,0.01,3.4,3.3,3.5,3.4,3.3,3.26,3.0,3.05,2.91,2.85,2.84,8.04,13.61,12.58,10.39,9.13,8.78,7.23,5.41,5.0,4.59,4.13,4.12
23,MN,196946.74,182382.09,175702.99,166277.28,164081.88,173239.85,181563.74,184394.7,190877.03,201408.65,212736.32,220761.75,205932.27,185231.02,183742.96,166902.08,170398.9,183267.78,195831.72,205301.64,211613.18,231530.12,247404.2,259514.33,5315.5,5466.0,4751.17,5084.4,6057.55,6867.75,6446.72,7272.12,7742.17,8184.84,8066.35,8136.35,0.02,0.02,0.03,0.04,0.05,0.05,0.03,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,5.44,7.77,7.39,6.49,5.61,4.96,4.16,3.68,3.87,3.41,2.91,3.24
24,MO,142049.41,135569.68,132161.6,125656.78,122425.33,122294.55,123881.16,127014.49,131050.98,135672.39,142524.55,148446.71,163125.32,159075.53,157634.22,152665.98,151383.78,152252.84,159056.04,162951.71,169935.01,180896.24,190683.33,201568.22,5621.2,5209.75,4831.33,4670.33,5190.42,5760.92,5714.46,6559.67,7484.92,8297.21,8703.08,8203.61,0.04,0.04,0.04,0.05,0.06,0.05,0.03,0.02,0.02,0.01,0.01,0.01,3.7,3.8,3.9,3.9,3.7,3.42,3.28,3.18,3.28,3.14,3.04,6.18,9.26,9.58,8.49,6.98,6.73,6.13,4.98,4.58,3.76,3.18,3.22
25,MS,118782.22,115242.92,112245.33,109144.04,107339.9,104701.82,103602.25,104237.24,107527.82,110019.21,113577.32,117658.76,147286.0,142475.4,142766.88,129781.25,127164.81,132650.76,138436.57,144002.68,150490.0,156940.99,162837.3,171661.77,1114.3,1101.58,1144.08,1138.0,1164.17,1305.33,1343.75,1476.07,1750.17,1842.43,1702.75,1629.19,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.01,0.0,4.3,4.1,4.3,4.0,4.0,3.59,3.37,3.37,3.2,2.9,2.72,6.6,9.48,10.36,9.98,9.0,8.53,7.49,6.38,5.83,5.1,4.77,5.1
26,MT,249085.83,229901.18,217305.68,210999.2,210743.83,216490.37,225810.41,227911.8,229226.8,238157.76,250403.04,262202.53,193270.0,181242.77,186728.7,183056.48,181479.17,186048.55,201419.05,227881.69,237785.85,255013.43,276405.56,293626.41,747.2,706.08,693.42,692.25,838.83,945.92,942.75,1115.92,1176.08,1214.0,1245.25,1274.78,0.01,0.01,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.0,4.1,4.0,3.9,4.0,3.9,3.39,3.45,3.43,3.1,3.11,3.03,5.11,6.84,7.3,6.94,5.98,5.41,4.66,4.19,4.13,3.94,3.72,3.54
27,NC,182419.45,173986.06,166381.11,158529.71,154408.42,155094.55,158913.15,161927.15,167188.15,174604.25,184608.71,193065.42,173105.95,167357.17,178284.82,165778.63,170336.35,174680.44,177461.74,185765.7,191298.15,200076.16,215811.15,227340.66,8090.85,7143.02,7058.83,6808.0,7713.67,9538.05,10040.75,10910.38,13055.02,14986.92,15164.49,16074.38,0.05,0.06,0.08,0.07,0.07,0.06,0.06,0.04,0.03,0.02,0.02,0.01,3.8,3.8,3.8,3.7,3.7,3.43,3.4,3.08,3.25,3.11,3.08,6.13,10.58,10.82,10.27,9.29,7.96,6.32,5.72,5.08,4.48,3.89,4.03
28,ND,134917.45,134971.88,134141.33,131628.87,137667.47,152007.81,155455.86,156547.14,161123.08,161621.09,163702.76,166723.48,158636.0,160435.0,159603.33,166367.59,192223.03,205441.67,220154.55,235670.37,233064.58,232470.83,232097.22,231134.58,497.4,492.17,495.25,455.08,576.67,579.42,577.42,533.33,567.08,600.33,606.75,598.56,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,2.9,2.8,3.1,2.7,3.1,2.94,2.83,2.84,2.59,2.49,2.56,3.19,4.1,3.78,3.47,3.07,2.92,2.67,2.79,3.09,2.67,2.63,2.4
29,NE,134447.0,133258.08,132069.1,128367.34,127995.44,130834.79,132531.23,134705.21,137373.73,142928.25,151398.25,158770.78,136374.81,133968.98,133083.61,134277.18,137831.95,144413.94,146436.49,154448.41,165584.78,170639.64,181409.35,194931.36,1521.7,1619.5,1416.75,1412.5,1582.42,1731.92,1771.83,1976.25,2104.33,2192.5,2238.25,2120.28,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,3.3,3.4,3.6,3.5,3.4,3.28,3.05,3.18,3.14,3.02,2.95,3.34,4.64,4.63,4.39,4.02,3.77,3.27,2.99,3.07,2.88,2.79,2.98
30,NH,257838.88,240007.57,233480.33,229944.47,223986.51,230441.83,237634.44,244674.07,252459.55,264382.57,279610.3,289440.77,250793.33,221176.65,227383.33,221909.17,229158.76,233935.26,231655.3,240888.33,243677.85,264679.7,278960.06,294025.42,985.2,1060.75,1078.42,1056.25,997.83,1282.17,1322.08,1481.08,1668.92,2008.75,1880.08,1838.71,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.01,3.9,3.7,3.8,3.8,3.6,3.73,3.54,3.33,3.38,3.11,3.09,3.87,6.23,5.83,5.41,5.48,5.08,4.28,3.36,2.87,2.73,2.53,2.47
31,NJ,420846.99,391781.09,380716.98,361595.33,349549.49,354848.03,366802.37,368908.9,370147.75,376508.54,389347.73,394467.31,359220.3,328069.67,326962.15,305550.61,286684.91,296716.98,312051.65,316478.09,327699.09,334873.84,347126.24,359175.05,6544.2,5941.46,5820.83,5474.33,5954.42,7446.13,7439.92,9027.62,10249.85,12233.15,13070.76,12422.24,0.02,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.03,3.0,2.7,3.0,2.9,2.8,2.79,2.78,2.82,2.67,2.6,2.75,5.36,9.03,9.53,9.34,9.33,8.24,6.74,5.78,4.98,4.62,4.14,3.59
32,NM,216786.43,203819.22,199047.55,185492.53,181806.54,181872.02,181819.09,177093.51,179636.44,184753.33,189075.22,197807.64,218761.82,206981.06,204165.91,187377.21,182695.42,184309.6,184841.37,185074.49,195443.4,196105.54,207110.9,219729.2,1440.2,1323.67,1429.5,1277.58,1564.17,1744.75,1741.0,1920.55,2129.58,2457.5,2578.42,2334.59,0.01,0.01,0.01,0.02,0.03,0.03,0.01,0.01,0.01,0.01,0.0,0.0,4.1,3.9,4.0,3.3,3.0,3.44,3.55,3.29,,,,4.48,7.51,8.1,7.52,7.12,6.94,6.68,6.51,6.62,5.85,4.94,4.95
33,NV,321440.87,246297.4,223295.24,203158.48,201760.42,214414.44,236529.62,248118.78,264579.04,284029.57,314971.39,330680.68,220221.6,151910.37,136541.41,125678.48,136774.31,169676.31,194464.0,214772.5,228564.52,258868.96,295045.37,310817.29,1974.3,3158.98,2866.33,3445.08,3585.96,3505.83,3484.75,3836.2,6421.9,5391.2,5408.67,5171.05,0.22,0.31,0.25,0.27,0.15,0.04,0.05,0.04,0.03,0.02,0.01,0.02,6.4,6.6,5.9,5.6,5.5,5.12,5.33,4.64,4.29,4.46,4.38,6.71,11.3,13.5,13.02,11.19,9.63,7.92,6.76,5.73,5.05,4.56,4.12
34,NY,278298.56,268552.77,263891.13,259738.74,255804.06,260552.21,271670.38,280099.19,286061.26,295582.16,308107.51,314999.34,273470.08,259575.56,258536.33,253600.81,279393.14,307826.2,310570.91,318342.93,336656.71,351428.25,370872.38,383284.86,8510.3,7650.03,8661.28,8142.94,8835.5,10356.58,10761.17,12189.53,13840.25,14714.92,14300.17,13340.14,0.01,0.02,0.02,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,2.8,2.6,2.9,2.9,2.9,2.74,2.84,2.71,2.68,2.68,2.78,5.46,8.32,8.59,8.3,8.52,7.71,6.33,5.26,4.85,4.68,4.11,3.95
