RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
395091,"Shelbyville, TN",506,81500,84800,87100,93500,88400,86300,81200,83000,87200,88700,87300,78100,75900,79500,86000,91800,91900,92000,88700,86200,89700,90700,90900,80400,78500,83700,87800,87900,78500,80200,75500,79200,79300,86300,94200,93200,89300,80300,80600,77800,79000,78700,76500,74100,77700,88600,91600,81000,78900,79200,87600,83800,85200,79300,77600,70200,72200,76900,86200,83800,87800,86400,95400,90500,86100,83700,82300,86100,86500,90900,92100,96200,97100,98700,94800,96200,98200,102800,103700,103200,102400,102100,99100,95600,96200,100400,105400,109700,113200,115700,111300,104900,106100,106200,111800,113900,113400,117200,115700,117100,121600,121400,127600,125400,128600,128500,129700,125000,125200,127300,134400,139100,136800,140700,139300,145000,145100,160000,162100,162900,150800,146800,150900,150500,149700,146800,154100,159500,158200,151100,151600,154500,157900,159300,160300,167200,169600,173700,166900,170500,
786259,"Grand Rapids, MN",507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127600,132200,135500,137700,143200,142000,164100,150700,152800,129800,136400,138800,135900,136500,135500,143300,142700,140900,136600,138900,134700,140100,139800,145700,142000,140400,135800,141900,138000,146900,
394545,"Duncan, OK",508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75200,80800,80800,90500,89700,92300,85200,87200,87500,91700,92700,90300,90500,82700,79600,71200,77600,80000,85700,81800,89100,91800,95100,90000,73300,73300,74700,80200,80400,78100,91200,86800,91200,87400,93200,98200,96700,88200,76100,71800,77900,75500,71500,77200,75300,78200,83200,90800,94900,83800,77100,76600,77900,86900,98700,100500,91400,79900,88200,93200,96500,83200,84500,66800,64500,66200,80300,82300,82700,85000,92700,
394785,"Lewisburg, PA",509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136300,138900,142200,154100,139300,141700,127100,144800,141100,150900,156100,162300,158900,145000,145700,151400,161400,165300,167200,165300,166800,166800,172700,160100,164900,163600,161900,155900,164800,178800,180200,176000,181400,179700,172200,167500,165700,168900,170800,170700,169400,166500,174400,175100,176200,166200,165900,167400,157400,164800,159100,175700,166800,175600,172100,166300,169800,176900,194600,183100,
395008,"Pullman, WA",510,,,,,,,,,,,,,,176000,168800,183900,180100,178800,158600,168400,172400,204600,202600,200800,185000,182700,190100,187700,184700,190400,189000,185100,168100,165300,163000,149500,149500,155300,172800,178900,182800,184100,191500,187800,188000,163400,154700,145400,157500,166500,170300,178200,195000,204600,209800,201300,197000,184300,152400,172100,156600,182600,176700,195000,211800,205800,219600,208200,213000,210400,183300,158500,152300,174200,189600,197900,197300,198400,211000,215500,212600,178600,176400,179200,183100,196300,195300,207400,203900,209800,217400,219000,222400,222200,199600,173500,170700,189100,218400,219500,220300,225000,224600,233300,220400,216300,219900,219800,226000,217400,214900,215000,216100,221200,216000,215800,217000,226800,227000,233600,245200,249500,253500,241300,242400,234500,246200,245000,247600,235000,223300,240400,249900,257600,249700,250300,264100,255900,261400,274300,295600
395155,"Thomasville, GA",511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110200,134700,134900,137700,121700,128100,113000,119500,117900,136400,139200,137100,130900,135300,135200,136700,131100,131900,134700,129700,126200,128100,126500,134100,135700,151200,151100,155300,172900,175800,173600,152100,159100,158600,166200,158900,165300,151700,151500,147400,140900,143600,139400,145500,133900,129300,132100,129700,135200,134700,155000,158400,162200,
394379,"Bemidji, MN",512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118100,107400,117000,120400,129000,122400,111000,114000,121300,127200,123700,112200,125700,126800,137400,119100,119200,108600,124300,130400,131900,133400,133600,139300,130500,125800,134200,143400,141000,142800,127100,135400,126000,131600,124200,121900,128400,123000,116200,120200,126900,136900,136000,134100,133200,129900,137600,144400,147900,150300,143300,146300,151800,154100,150600,142400,152200,148300,150000,150500,153400,158400,158300,153500,142000,135400,138600,137200,134300,137700,143700,140800,145900,154100,164400,156400,160400,137900,139300,136900,163300,165200,162000,157500,151000,145300,148700,156800,160500,162300,157500,159200,158000,160600,156300,152300,155600,
394887,"Mount Sterling, KY",513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92300,90300,90900,92800,99300,107200,102600,101500,95500,96100,100800,108200,110600,109400,109200,110200,107600,105400,103300,95500,103200,98100,104500,98200,97900,104100,96400,100000,95900,104800,104600,109800,111200,119000,116700,120100,115000,115100,113800,110000,113100,93600,105000,105900,120600,114800,99900,100500,100900,120600,128500,132300,136900,134600,133300,126900,127000,133800,132200,141000,148300,155700,151200,136800
394954,"Pahrump, NV",514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158100,156300,154100,149600,144900,142400,135500,137100,130800,139600,144600,159200,162700,166600,166700,167800,161800,159200,158500,165900,167400,166700,166400,163400,161200,167700,180100,193700,191100,184200,174800,181400,194600,209600,199800,195300,186800,186000,175500,176800,198100,198300,209800,211900,228000,227700,221800,222000,221500,228000,
394850,"Menomonie, WI",515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142200,143600,141300,134300,132500,137600,146500,152400,143600,138200,137200,136400,139100,134200,137300,135600,138900,138200,141400,139300,143400,147000,150700,147400,140800,145900,143300,148400,129600,140400,140900,160100,159600,158200,152900,146600,150000,155200,170100,182400,202100,192800,178700,157800,157600,154700,154000,154900,155900,147000,145900,155000,161400,157500,156600,159600,190600,182800,181800,160000,170400,178700
